7,113031,117519,103876,117577,116146,101596,117582,114953,115146,115074,117580,89727,117581,117045,117205,116327,117545,91297,117549,115104,116475,115431,116784,117520,116220,115079,114711,60426,101786,113960,115732,117548,105353,114900,116977,51360,79771,57786,117518,98323,116981,114087,112296,49148,81090,91895,113022,113957,51716,77020
8,112336,82930,26770,14647,31779,41896,27269,95717,53274,40356,108715,10743,39340,115778,53664,31941,20440,53661,101595,23127,18557,46611,36395,40318,27109,83529,42338,59725,102739,12371,26902,87728,3904,41287,70988,72890,102706,13948,26411,76763,53850,17200,28348,36695,81055,116384,28212,64123,32364,108755
9,43849,4296,55360,54173,109635,2809,31509,114330,24650,24232,115332,46077,94518,100815,74679,86187,95610,40805,24438,8894,117102,21431,54007,31077,114431,51795,4739,27773,16414,82501,109119,18700,116268,57087,64644,96924,78755,44880,79572,65667,116269,84363,11996,110773,110065,82896,36874,83715,80476,80227
29,14993,23139,16751,95753,16401,352,110573,46260,19520,38164,9223,106038,56568,31101,99556,35822,38006,96125,54896,88651,115735,44430,72815,55910,64524,8238,5047,6114,30487,25989,36817,15725,53079,18399,10083,39697,600,44419,54002,16498,1887,56995,23741,23368,73492,45182,40066,72353,26442,77302
30,35668,3158,47901,23920,67634,27663,5872,29505,8429,104786,71944,68951,55952,29950,28881,88337,87933,6201,56830,44917,67171,89340,80749,105634,77085,29818,8751,29250,86313,47210,63515,4526,94111,77818,3243,13085,56546,24745,50391,72358,2336,84193,32026,23874,65843,97065,40191,66781,109925,2242
40,42130,1239,2796,109753,2522,3286,49523,1900,16393,112839,72506,519,22900,24236,2576,43464,96708,63342,111114,6078,113817,112528,81791,113845,729,31772,269,115194,89050,69420,10881,86975,13329,24616,3211,796,14518,92816,85629,48261,102267,45239,15063,91164,58487,2016,14701,96730,84750,39295
41,110613,90148,116327,69,52773,91297,42594,9143,73283,35938,39785,59454,36212,102105,24269,105353,26550,100481,1763,27833,13945,15812,38244,16954,80626,81454,103897,65627,111741,87748,77458,94735,64521,117291,102965,99387,114434,95324,1514,114900,105121,52127,89675,36162,84475,98335,96177,108240,88605,42560
42,91046,104346,56747,52679,82125,84329,18549,65118,111297,25279,72424,38470,90174,21464,111136,74478,84993,69309,9587,65034,98191,73022,30475,91856,85232,23747,86855,64825,4665,21431,7790,79650,92039,30966,39739,94859,54146,59616,88971,54552,76371,109667,73402,20451,22367,40481,71003,73842,2028,86760
51,114900,32421,96907,49727,116570,19043,50638,88107,38894,35264,95317,24974,52756,30746,10240,67731,72914,106295,100827,108674,45293,35924,69734,78400,96131,41592,113759,105407,71069,29818,33666,48515,32755,35831,43487,103417,103974,86109,63276,66519,110715,114384,88579,81374,109924,113511,97208,85830,87724,67663
52,87654,93581,38222,63250,87799,56565,34530,36175,58548,73902,5441,70973,29572,29148,44040,42552,80407,93204,80389,110758,67640,3115,98481,45838,109789,23628,92299,28920,103006,6660,8011,75936,21602,32826,7285,116497,113101,102774,112858,113889,115281,106775,115899,86321,78086,97511,68974,83611,5577,98780
53,24491,25376,109754,73225,64687,19283,22407,83768,98751,71580,39101,1140,69356,36580,43012,49374,44894,100118,67140,36411,6335,18837,75724,21625,64942,52127,93964,22675,25189,21494,70907,12773,42599,67515,109593,77134,45586,47779,63368,36704,107231,78473,17016,44794,39881,96663,16931,45752,35804,84754
63,109885,73479,70502,72382,77826,76960,83181,81607,79340,90961,76411,96425,77589,65070,85975,80119,88520,70892,109787,67052,66814,69002,85483,110418,79721,83425,84349,109855,82532,69325,77292,73844,94324,112012,67338,68168,65878,78657,117567,103045,72390,17224,88766,72425,74998,69691,80727,102107,96668,88286
73,12899,50592,95398,73679,10580,6935,7022,54992,7812,2926,54796,98103,2738,69016,12629,7267,38917,36152,51143,98696,100158,113944,32683,65037,64586,91132,106628,38525,45067,82971,114389,35758,52906,111680,34006,10961,73080,100121,87748,35766,102784,62109,73994,111055,89595,107911,12296,106372,44428,83000
86,31085,36152,110891,11101,16309,43876,114050,72339,87122,71628,8084,17906,72019,67536,77050,27586,7542,51017,23647,115190,13356,103159,4180,8343,77047,90359,66298,51143,12863,13632,62316,99210,39200,33853,80217,116069,112695,34716,7682,2339,12076,77723,8564,66622,116570,99059,43128,46516,89695,11637
95,73557,45586,34188,93997,104055,87576,94204,112377,106245,37439,74211,94281,30179,34958,54008,78837,111363,33929,58825,71526,24863,115657,32368,76660,107948,92832,108491,27838,94742,99122,101747,23049,33729,103321,7746,52530,79277,35802,82670,8149,100165,57946,63794,26295,53747,104834,62859,104793,73658,48981
97,102052,2027,107305,83425,85436,88006,67742,101511,66661,19058,101761,76103,65842,85652,99455,42072,90848,53567,81221,59300,54534,82568,114527,95446,8871,65242,49620,34346,68889,115001,41058,54245,11009,79863,19122,108927,111911,2739,114189,22501,33210,30823,8098,72875,448,6349,32119,7250,102949,21185
106,82008,35756,85833,105471,20055,69339,83857,12146,72515,83095,103131,24922,44376,7830,43256,90470,55708,94163,87254,103985,115770,77275,116620,7494,73339,63160,25147,53307,46041,92975,113891,3075,68931,46928,14086,55735,49931,114502,38280,10745,20239,87389,100106,106286,39508,54474,70275,30503,22169,107739
107,60826,5766,28601,117673,89244,57841,30138,40828,39355,83375,115652,92646,31922,7795,24279,116637,13308,31,92579,2630,34982,2574,4754,8763,13526,5529,104648,110913,881,78385,5479,44707,37476,22568,20994,20876,101554,303,109013,70821,49300,63246,102623,104141,53997,15646,56134,32039,79416,45861
117,47878,57388,53065,34979,112053,10412,11958,82158,56823,21810,37003,12529,107232,9636,67421,13308,57691,54613,103605,58728,82670,80451,104050,4452,105830,68474,83527,111749,41427,59990,53311,85155,93000,36249,93729,51440,17881,38180,78740,240,53886,99548,26682,75882,87163,15330,28976,73249,116446,96809
